GeneName	frequency
50865	0
3320	0.428
6612	0.003
3791	0.021
84539	0
409	0.295
5695	0.01
5294	0
6227	0
127068	0.011
2770	0.021
183	0.043
7015	0
5970	0
6228	0.071
983	0.022
2919	0
10992	0.559
390168	0
341152	0.001
2309	0.01
10197	0
23478	0.022
29093	0.063
6189	0
79324	0.026
10365	0.074
219869	0
2099	0.001
81470	0.001
119695	0
6774	0
112	0.02
143	0.001
3375	0
58191	0.056
7040	0.001
652	0.001
254879	0
79310	0.003
6156	0
5781	0
390058	0.711
81472	0.01
3190	0
1027	0
138881	0.001
403	0.002
390151	0
64960	0.001
51069	0.002
6160	0
3065	0.002
5686	0
140801	0.002
27335	0.002
6470	0.027
5728	0.001
96764	0
332	0
26338	0.087
3646	0
403253	0.426
23471	0
26248	0.001
3064	0.259
8997	0
2790	0.04
6175	0.006
5925	0.328
5713	0
390326	0.009
4790	0.023
55749	0.007
84172	0
256892	0
595	0
836	0.065
401427	0
1901	0.005
390327	0.003
54948	0.001
6730	0.223
6202	0.001
3958	0
64983	0
6193	0.033
2353	0.198
6602	0.002
6155	0
8383	0.003
56923	0
23236	0.39
6208	0
405	0.157
4854	0.023
120776	0.008
9861	0
1814	0.092
6288	0
3091	0.066
6201	0.001
729230	0
51639	0
29933	0.003
219417	0.001
85465	0.031
301	0
6142	0
347468	0.126
6431	0.133
958	0.007
10131	0.034
6726	0.001
6714	0.013
60559	0
8698	0
23594	0
390075	0.005
8665	0
403239	0
10933	0
6128	0.002
9446	0.002
127062	0
4987	0
3718	0.002
219983	0
4851	0
57007	0.003
23523	0.004
26496	0.02
10726	0
25791	0.009
60	0
57794	0.008
5716	0
5339	0
392390	0.027
891	0.023
1544	0
6203	0.014
6218	0
338674	0.309
10250	0.003
2033	0
22916	0.015
6232	0.005
1906	0
125962	0
23450	0
284532	0.02
1499	0.009
5001	0.33
5711	0.006
254786	0
4158	0
7251	0.001
7307	0.295
6427	0
119678	0
1815	0.172
6133	0
959	0.001
5708	0
84340	0.391
121130	0
5093	0.002
1964	0
51362	0
4686	0.206
390649	0.001
5367	0.49
7157	0
5720	0.642
219981	0.025
5356	0
5435	0.003
9276	0
58477	0.014
2113	0.02
23049	0
1973	0.002
26658	0
5928	0.095
2792	0.004
2052	0
5898	0
387129	0.047
7314	0.006
55181	0
7029	0
8841	0.003
5290	0
2922	0.057
23076	0.006
6139	0.011
390199	0.001
7532	0.389
390648	0.11
128371	0.026
26534	0.31
148	0.105
7297	0.001
254531	0
63875	0
1975	0
144124	0
11224	0
8399	0.055
119765	0.106
9060	0.017
9134	0
10382	0.002
6229	0
6146	0
138803	0.002
1278	0.002
26696	0.349
284433	0.002
896	0.151
6187	0
6865	0
143471	0.024
1785	0
7514	0.022
338755	0.042
2641	0
3921	0.004
64968	0.137
9887	0
23198	0.004
6745	0.268
9219	0.003
1479	0.006
6185	0.145
65003	0.001
8683	0.012
81309	0
1937	0
390064	0.087
81578	0.059
23020	0.064
1577	0
5431	0.001
5036	0.03
81469	0.001
894	0
805	0.303
7311	0
122742	0.083
391109	0.235
5127	0.005
7316	0
2767	0
29927	0.002
998	0
6159	0
442361	0.001
2185	0.001
9759	0.274
6370	0.084
285855	0
79631	0.013
26737	0.001
5441	0.002
6138	0
391211	0
401666	0.004
390323	0.001
5440	0.003
373156	0.168
390079	0
390144	0
51684	0
3516	0
